SubjectId;Session;Phase;Pos;Fov;RestFrame;Navigation
105;4;1;seated;default;default;default
105;5;1;seated;blurred;default;default
105;6;1;seated;reduced;default;default
119;1;1;lying;default;default;extended
119;2;1;lying;reduced;default;extended
119;3;1;lying;blurred;textured;extended
119;4;1;lying;blurred;default;extended
119;5;1;lying;reduced;textured;extended
119;6;1;lying;default;textured;extended
1005;1;1;seated;reduced;textured;default
1005;2;1;seated;blurred;textured;default
1005;3;1;seated;default;textured;default
1005;4;1;seated;default;default;default
1005;5;1;seated;blurred;default;default
1005;6;1;seated;reduced;default;default
106;1;1;seated;blurred;textured;default
106;2;1;seated;default;default;default
106;3;1;seated;reduced;textured;default
106;4;1;seated;reduced;default;default
106;5;1;seated;default;textured;default
106;6;1;seated;blurred;default;default
113;1;1;lying;default;default;default
113;2;1;lying;reduced;default;default
113;3;1;lying;blurred;textured;default
113;4;1;lying;blurred;default;default
113;5;1;lying;reduced;textured;default
113;6;1;lying;default;textured;default
107;1;1;seated;default;default;extended
107;2;1;seated;reduced;default;extended
107;3;1;seated;blurred;textured;extended
107;4;1;seated;blurred;default;extended
107;5;1;seated;reduced;textured;extended
107;6;1;seated;default;textured;extended
